FSNM2_pressure,Baltimore MD_pressure,Gaithersburg_pressure,SHIP_pressure,FSKM2_pressure,BLTM2_pressure,TCBM2_pressure,Baltimore-Martin MD_pressure,Carroll County_dewpoint,Baltimore-Martin MD_dewpoint,Gaithersburg_dewpoint,Baltimore MD_dewpoint,SHIP_dewpoint,Gaithersburg_dps,Baltimore MD_dps,Carroll County_dps,Baltimore-Martin MD_dps,SHIP_dps,Gaithersburg_wbt,Baltimore-Martin MD_wbt,Baltimore MD_wbt,SHIP_wbt,Carroll County_temp,FSKM2_temp,Gaithersburg_temp,TCBM2_temp,Baltimore-Martin MD_temp,Baltimore MD_temp,FSNM2_temp,BLTM2_temp,time,precipitation
1013.1,1013.9,1015.9,1013.64,1013.22,1012.9,1014.2,1014.3,15.8,24.8,19.9,23.0,25.2,13.1,16.0,19.8,22.0,12.1,28.8,32.4,33.1,32.5,35.6,37.9,33.1,39.2,39.9,39.0,37.78,38.28,2023-11-28/13:00,"[0, 0, 0, 0]"
1016.5,1016.5,1016.4,1016.7,1015.02,1016.34,1016.7,1017.5,51.8,53.6,52.0,52.0,52.2,1.1,2.0,0.0,3.1,0.9,52.3,53.1,52.7,52.5,51.8,53.2,53.1,54.5,55.0,54.0,54.3,54.96,2023-11-22/00:00,"[1, 1, 1, 1]"
1017.7,1018.1,1018.6,1018.8,1019.14,1017.18,1018.5,1018.7,50.0,51.1,52.0,51.1,50.9,0.0,2.0,0.0,2.9,1.3,52.0,52.3,51.8,51.4,50.0,52.9,52.0,53.1,54.0,53.1,54.260000000000005,54.44,2023-11-21/23:00,"[1, 1, 1, 1]"
1018.22,1018.6,1019.5,1019.5,1018.02,1018.48,1019.5,1019.3,48.2,48.9,50.0,50.0,48.9,0.0,2.0,0.0,3.1,0.9,50.0,50.2,50.9,49.5,48.2,51.4,50.0,50.4,52.0,52.0,54.1,53.120000000000005,2023-11-21/22:00,"[1, 1, 1, 1]"
1021.1,1021.1,1022.1,1022.0,1021.72,1021.4,1021.5,1021.9,44.6,46.4,46.9,46.9,46.4,0.0,3.1,1.8,4.0,1.3,46.9,47.8,48.2,46.9,46.4,49.6,48.0,49.3,51.1,51.1,48.82000000000001,49.18,2023-11-21/20:00,"[1, 1, 1, 1]"
1021.3,1021.9,1022.9,1022.5,1022.58,1022.14,1022.4,1022.7,44.6,46.0,45.0,46.0,45.3,1.1,2.9,0.0,4.0,1.8,45.5,47.8,47.5,46.0,44.6,48.2,46.0,47.5,50.0,48.9,47.56,48.1,2023-11-21/19:00,"[1, 1, 1, 1]"
1023.2,1023.7,1024.3,1024.4,1024.38,1023.88,1024.0,1024.3,42.8,44.6,42.1,45.0,44.6,0.9,3.1,0.0,4.0,1.8,42.6,46.0,46.4,45.3,42.8,47.7,43.0,47.3,48.0,48.0,48.32000000000001,47.58,2023-11-21/18:00,"[1, 1, 1, 1]"
1023.8,1025.1,1026.0,1026.2,1024.6,1024.6799999999998,1025.5,1025.8,41.0,42.8,41.0,42.1,41.9,0.0,4.0,1.8,5.9,3.6,41.0,44.1,44.1,43.7,42.8,45.7,41.0,46.8,46.9,46.0,46.68,47.72,2023-11-21/17:00,"[1, 1, 1, 1]"
1005.8,1006.0,1008.3,1007.5,1007.04,1005.9400000000002,1006.3,1006.4,55.4,55.0,54.0,55.0,53.8,1.1,2.9,1.8,5.0,7.4,54.3,57.0,56.1,54.7,57.2,57.4,55.0,57.9,60.1,57.9,58.96,59.5,2023-11-18/08:00,"[0, 0, 0, 0]"
1007.3,1007.5,1009.6,1008.9,1006.96,1007.74,1008.0,1007.8,57.2,55.9,55.0,55.9,53.4,2.0,3.1,0.0,6.1,7.4,55.8,58.3,57.2,54.7,57.2,59.2,57.0,58.6,62.1,59.0,59.24000000000001,59.7,2023-11-18/06:00,"[0, 0, 0, 0]"
1009.0,1009.3,1011.4,1010.5,1009.68,1009.0,1009.4,1009.5,57.2,53.6,57.0,53.1,53.4,0.9,7.0,3.6,11.0,10.3,56.7,57.9,56.7,55.0,60.8,59.9,57.9,58.1,64.0,60.1,60.48,60.52,2023-11-18/04:00,"[1, 0, 1, 0]"
1009.7,1009.9,1011.8,1011.2,1009.4,1009.16,1010.1,1010.2,53.6,54.0,54.0,53.1,54.0,8.1,9.0,9.0,8.1,9.4,57.4,57.2,56.7,55.6,62.6,60.8,62.1,63.5,62.1,62.1,61.86,61.58,2023-11-18/02:00,"[0, 0, 0, 0]"
1010.1,1010.5,1012.3,1010.4,1009.68,1008.9,1010.5,1010.8,53.6,54.0,53.1,53.1,54.1,9.9,9.0,10.8,8.1,5.9,57.0,57.2,56.7,56.5,64.4,60.8,63.0,63.9,62.1,62.1,62.2,61.7,2023-11-18/01:00,"[0, 0, 0, 0]"
1021.3,1021.5,1023.6,1021.4,1020.86,1021.42,1021.8,1022.0,42.8,42.8,41.0,43.0,40.8,2.0,3.1,1.8,5.9,5.0,42.6,45.5,44.4,43.2,44.6,45.3,43.0,47.1,48.0,46.0,46.24,46.58,2023-11-10/20:00,"[0, 0, 1, 0]"
1022.4,1023.5,1025.2,1023.2,1023.96,1024.44,1023.6,1023.5,42.8,41.0,41.0,43.0,39.9,2.0,3.1,1.8,7.0,5.0,41.0,44.1,43.5,41.7,44.6,46.0,43.0,46.9,48.0,46.0,47.38,47.82,2023-11-10/17:00,"[1, 1, 1, 1]"
1023.3,1022.7,1025.5,1022.7,1023.02,1022.92,1022.9,1022.6,41.0,44.6,44.1,41.0,40.6,2.0,7.9,5.4,7.0,7.6,45.1,46.4,45.0,44.4,46.4,48.7,46.0,48.0,50.0,48.9,51.67999999999999,51.760000000000005,2023-11-10/15:00,"[1, 1, 1, 1]"
1013.98,1015.7,1018.3,1016.1,1013.54,1013.1,1016.0,1015.8,39.2,44.6,41.0,41.0,40.1,25.9,32.0,28.8,34.0,28.3,53.1,55.4,55.4,53.4,68.0,67.6,66.9,67.5,73.0,72.0,66.34,67.32,2023-11-05/18:00,"[0, 0, 0, 1]"
1016.2,1016.6,1018.3,1017.3,1016.64,1016.66,1017.1,1017.2,57.2,57.9,61.0,59.0,57.6,5.9,7.9,3.6,11.2,7.7,63.0,62.1,62.1,60.4,60.8,64.0,66.9,62.8,69.1,66.9,63.24000000000001,63.24,2023-10-29/16:00,"[0, 0, 0, 0]"
1016.8,1017.2,1019.0,1017.9,1016.02,1017.24,1016.9,1017.7,57.2,57.2,60.1,57.9,57.2,2.9,8.1,3.6,11.0,7.6,61.0,61.2,61.0,59.9,60.8,63.9,63.0,67.6,68.0,66.0,64.0,63.78,2023-10-29/15:00,"[1, 0, 0, 0]"
1017.0,1017.3,1019.4,1017.9,1016.74,1016.06,1017.4,1017.9,57.2,55.9,59.0,57.9,56.3,4.0,7.0,5.4,11.0,7.2,60.4,60.1,60.6,59.0,62.6,63.1,63.0,65.1,66.9,64.9,62.02,62.88,2023-10-29/14:00,"[1, 0, 0, 0]"
1017.4,1017.4,1018.8,1018.1,1016.56,1016.0599999999998,1017.8,1017.9,57.2,55.9,59.0,57.0,55.4,4.0,7.9,5.4,10.1,8.5,60.4,59.7,60.1,58.6,62.6,63.7,63.0,63.1,66.0,64.9,62.02,62.88,2023-10-29/12:00,"[0, 0, 0, 0]"
1017.2,1016.9,1018.9,1017.5,1016.74,1016.72,1017.3,1017.5,59.0,57.2,61.0,57.9,57.2,3.1,8.1,3.6,9.9,7.2,62.1,60.8,61.0,59.9,62.6,64.4,64.0,63.9,66.9,66.0,63.02,63.1,2023-10-29/11:00,"[0, 0, 0, 0]"
1017.78,1018.1,1020.7,1018.5,1018.4199999999998,1018.22,1018.4,1018.2,62.6,61.0,63.0,62.1,61.2,16.0,20.0,16.2,22.0,17.5,68.4,68.5,68.7,67.1,78.8,77.5,79.0,72.5,82.9,82.0,78.1,79.4,2023-10-28/17:00,"[0, 0, 0, 1]"
